"","Relief"
"A2ML1","0.076068122712038"
"AADACL3","0"
"AADAC","0"
"ABCA10","0.112313438587992"
"ABCA8","0.10814824929201"
"ABCA9","0.0857318437784907"
"ABCB5","0.0670985597459792"
"ABCC13","0"
"ABCD2","0.0694914177934839"
"ACACB","0"
"ACADL","0.0658920649095139"
"ACSM2A","0"
"ACSM5","0"
"ACTL8","0"
"ACVR1C","0"
"ADH1A","0"
"ADH1B","0.0807111170345116"
"ADH4","0.0899307103224098"
"ADIPOQ","0.0703152733227257"
"ADRA1A","0"
"AIM1L","0"
"ALAS2","0"
"ALDH1L1","0.0706817016282244"
"ANGPT4","0"
"ANGPTL5","0"
"ANGPTL7","0.109452189421378"
"ANLN","0"
"AOC3","0"
"APOB","0"
"AQP7P1","0"
"AQP7P3","0"
"AQP7","0.0642638213133958"
"AQPEP","0.0692897952982512"
"ASCL1","0"
"ASPA","0.0630673540047015"
"ASPM","0"
"ATOH8","0.0764383317691226"
"ATP1A2","0"
"ATP1A3","0"
"B3GALT1","0"
"BMP3","0"
"BMPR1B","0.107778748903746"
"BRSK2","0"
"BTNL9","0.0798140763450162"
"BUB1","0"
"C12orf39","0"
"C13orf36","0"
"C14orf180","0.0757586588195093"
"C14orf53","0"
"C17orf93","0"
"C1orf230","0"
"C2orf40","0.144199584141274"
"C2orf54","0.127653040109608"
"C3orf50","0"
"C6orf126","0"
"CA3","0"
"CA4","0.103924069895007"
"CA9","0"
"CAMP","0"
"CAPN9","0.125984816996837"
"CAPSL","0"
"CASP14","0.094347771148442"
"CBLN2","0.11265759599925"
"CCL11","0.0725478210865483"
"CCL24","0"
"CCL7","0"
"CD177","0.173861024257459"
"CD300LG","0.125827426126901"
"CD36","0"
"CDC20B","0"
"CDC20","0"
"CDC25C","0"
"CDH20","0"
"CDO1","0"
"CEACAM5","0.508946478986578"
"CEACAM6","0.237328898044111"
"CELF3","0"
"CENPA","0"
"CENPF","0"
"CEP55","0"
"CES1","0.0740843266003052"
"CFD","0.0623033494531508"
"CGA","0"
"CHRDL1","0.110994909233099"
"CHRNA6","0"
"CHRNA9","0"
"CIB3","0"
"CIDEA","0"
"CIDEC","0.070816071656441"
"CILP2","0.212720076595704"
"CKAP2L","0"
"CLCA4","0.14361197476969"
"CLDN19","0.10863904006738"
"CLEC3A","0.196005988689197"
"CLEC3B","0.106134567316144"
"CLEC4GP1","0"
"CLEC4G","0"
"CLEC5A","0.059818198878248"
"CNGA2","0"
"CNIH2","0"
"CNN1","0.0778195004419807"
"CNTNAP2","0.129881372191188"
"COL10A1","0.573365556820915"
"COL11A1","0.578512396694215"
"COMP","0.33412169071624"
"CPA1","0"
"CPA2","0"
"CPLX2","0"
"CRHBP","0"
"CSAG1","0"
"CSAG2","0"
"CSAG3","0"
"CSF3","0"
"CSMD3","0"
"CSN1S1","0.130635266402924"
"CSN2","0"
"CSN3","0.231535628732015"
"CST1","0.512496844198199"
"CST2","0.180448800394645"
"CST4","0.259305868461271"
"CST5","0"
"CXADRP3","0"
"CXCL10","0"
"CXCL11","0"
"CXCL2","0.289870776416275"
"CXorf30","0"
"CXorf61","0"
"CYP1A1","0"
"CYP2B6","0"
"CYP2B7P1","0.184193553222973"
"CYP3A4","0"
"DACT2","0.0887360711362694"
"DCT","0"
"DEFB132","0.0743730451878632"
"DEPDC1","0"
"DES","0.0694153762593215"
"DGAT2","0"
"DIO1","0.221919761308894"
"DLGAP5","0"
"DLK1","0.0942081833485086"
"DLK2","0.0938115612965885"
"DPP6","0"
"DPT","0"
"DQX1","0"
"DUSP13","0"
"E2F8","0"
"EDN3","0.165726910457569"
"EIF4E1B","0"
"ELANE","0"
"EMX1","0"
"ENTHD1","0"
"EPB42","0"
"EPHA8","0"
"EPO","0"
"EPR1","0"
"EPYC","0.0827947836605428"
"EXO1","0"
"FABP4","0.0738218361926534"
"FABP6","0"
"FAM180B","0.0738986372169267"
"FAM196A","0"
"FAM196B","0.175965700416513"
"FAM25A","0"
"FAM83D","0"
"FBN2","0"
"FBXO40","0"
"FEZF2","0"
"FGF5","0"
"FGFBP2","0"
"FHL1","0.0591692254808957"
"FIGF","0.143003128174338"
"FMO9P","0"
"FOSB","0.0828322234114948"
"FOXJ1","0"
"FOXM1","0"
"FRMD1","0.0651917795535444"
"FXYD1","0.0860946016403178"
"G0S2","0.0648363198922467"
"GABRA3","0"
"GABRA4","0"
"GABRD","0.0896005933789946"
"GABRQ","0"
"GAL3ST2","0.0906871777144977"
"GATA4","0"
"GATA5","0"
"GBX2","0"
"GDF10","0.100928940484688"
"GFAP","0.138346730795737"
"GJB2","0.273550504686091"
"GLP2R","0"
"GLRA4","0"
"GLYAT","0.134315083042822"
"GNAT3","0"
"GNG13","0"
"GPAM","0"
"GPD1","0.0828200985167266"
"GPIHBP1","0.0752221118462919"
"GPR112","0"
"GPR115","0"
"GPR139","0"
"GPR144","0.0785459935069922"
"GPX3","0"
"GRIA2","0.0620752640469577"
"GRIA4","0.189606287214126"
"GRM4","0.199968073495316"
"GYG2","0"
"GYS2","0"
"HAPLN1","0.0997716816320302"
"HBA1","0.214805789264788"
"HBA2","0.073545829167416"
"HBB","0"
"HBG1","0"
"HBG2","0"
"HCN2","0"
"HEPACAM","0.063614835652886"
"HEPN1","0"
"HHATL","0"
"HIF3A","0.0866608919210342"
"HIST1H2AM","0"
"HIST1H2BO","0"
"HIST1H3G","0"
"HIST1H3H","0.0788651117209943"
"HIST2H3C","0"
"HJURP","0"
"HORMAD1","0.0926780467151831"
"HOXB13","0.107456198406739"
"HOXC12","0"
"HPD","0.0903434011092482"
"HPSE2","0.0604000545100929"
"HS3ST4","0.21416560029927"
"HSD17B13","0.0620370255680016"
"HSD17B6","0.155071598338225"
"HSPB6","0.0673023906889758"
"HSPB7","0"
"HTR1D","0.0709486809344838"
"IBSP","0.102939784305949"
"IGFBP6","0.0975484844625247"
"IGFL2","0"
"IGFL3","0"
"IL17B","0.0798385534936849"
"IL19","0"
"IL20","0"
"INHBA","0.136776095623734"
"INSM1","0"
"IQGAP3","0"
"ITGA7","0"
"ITIH2","0"
"ITIH5","0.0924190340071539"
"ITLN1","0"
"ITPKA","0"
"KCNA2","0"
"KCNA4","0"
"KCNE1","0.0647976048863563"
"KCNH1","0.162092263014698"
"KCNIP2","0.092804800754071"
"KCNJ16","0.199379600401378"
"KCNJ3","0.064803112607267"
"KIAA0101","0"
"KIAA0408","0.132662669818843"
"KIAA1199","0.100276171441927"
"KIAA1239","0"
"KIF14","0"
"KIF18B","0"
"KIF1A","0"
"KIF20A","0"
"KIF2C","0"
"KIF4A","0"
"KISS1R","0"
"KLB","0"
"KLF15","0"
"KLHL1","0"
"KLHL31","0.0675460307970211"
"KLK3","0"
"KLKP1","0"
"KREMEN2","0"
"KRT37","0"
"KY","0.0830138539929343"
"LALBA","0.0659549817681863"
"LEP","0.172358528449154"
"LGALS12","0"
"LGALS9B","0"
"LHCGR","0"
"LHFPL5","0"
"LHX1","0"
"LHX2","0"
"LIN28A","0"
"LIPE","0"
"LOC100133920","0"
"LOC152225","0"
"LOC283392","0.0725932602744463"
"LOC283867","0.0875451921468597"
"LOC388387","0"
"LOC55908","0"
"LOC572558","0"
"LOC642597","0"
"LOC645323","0"
"LOC647309","0"
"LOC728264","0.104946334958322"
"LOC729467","0"
"LOC84740","0"
"LPL","0"
"LPPR5","0"
"LRRC15","0.217782011625768"
"LRRC3B","0.0733112403992166"
"LRRN4CL","0.0742662670785165"
"LRTM2","0"
"LST.3TM12","0.149230666238701"
"LYVE1","0.162791302657719"
"MAGEA1","0.0711418522866631"
"MAGEA2","0"
"MAGEA3","0"
"MAGEA4","0"
"MAGEA6","0.072971820454033"
"MAGEB2","0"
"MAGEC2","0"
"MAP1LC3C","0"
"MARCH4","0"
"MASP1","0.121900749949454"
"MELK","0"
"MESTIT1","0"
"MLXIPL","0"
"MMP10","0.11533022075949"
"MMP11","0.329443171348598"
"MMP13","0.361870223451622"
"MMP1","0"
"MRAP","0.0587027775942462"
"MS4A15","0"
"MS4A8B","0"
"MSLN","0"
"MSMB","0.22641208739372"
"MUC21","0"
"MUC2","0"
"MYBL2","0"
"MYEOV","0.10668692751158"
"MYH11","0.0815469341839507"
"MYH1","0"
"MYOC","0.163428775871411"
"MYOM1","0.0700237052013283"
"MYT1","0.0700878066190222"
"NAT1","0.181528660412791"
"NBPF6","0"
"NCRNA00052","0"
"NDC80","0"
"NDST4","0"
"NEIL3","0"
"NEK2","0"
"NELL2","0"
"NEURL","0"
"NKAIN1","0.259809668536261"
"NKX2.2","0.0977578395542943"
"NMUR1","0.116438948670174"
"NMU","0"
"NNAT","0"
"NPR1","0"
"NPY2R","0.0874663502397624"
"NUF2","0"
"NXNL1","0"
"NXPH1","0.176233119516504"
"OR2B6","0"
"ORM1","0.0779301956687191"
"ORM2","0"
"OVCH2","0"
"OXTR","0.174244265087302"
"P2RX6","0"
"PAK7","0.0993841042282935"
"PAMR1","0.124536458867537"
"PAPPA2","0.0724650746252062"
"PAX7","0"
"PBK","0"
"PCK1","0"
"PCOLCE2","0.078572893053303"
"PDE1C","0.13103083138253"
"PDE3B","0"
"PDK4","0"
"PENK","0.261852774187224"
"PFKFB1","0"
"PGA3","0"
"PGA4","0"
"PGA5","0"
"PI16","0.1975836444961"
"PITX1","0.202058949793178"
"PKD1L2","0.0765055709505622"
"PKHD1L1","0.124995298052836"
"PKMYT1","0"
"PLAC1","0"
"PLAC9","0.0631186638815819"
"PLIN1","0.0661869421357013"
"PLIN4","0.0822027924091205"
"PLK1","0"
"POTEC","0"
"PPAPDC1A","0.271950767962614"
"PPBP","0"
"PPP1R1A","0"
"PPP2R2C","0.11846129509869"
"PRAME","0"
"PRG4","0"
"PROK1","0"
"PROL1","0.146142881423277"
"PRRT4","0"
"PSAPL1","0"
"PVALB","0.0959360157649764"
"PYDC1","0.19001928671471"
"PYGM","0"
"RAD21L1","0"
"RBP4","0"
"RDH16","0"
"RDH5","0.0692156241554658"
"RDM1","0"
"RERGL","0.0765513774093877"
"RHOXF1","0"
"RIMS4","0.160226000790161"
"RNF186","0.0759199772058165"
"RPE65","0"
"RRM2","0"
"RTBDN","0.125427149021664"
"RXRG","0"
"S100A7A","0.134782206761361"
"S100A7","0.162804317384639"
"S100P","0.387543441678836"
"SAA2","0.0769195533322391"
"SCARA5","0.232680995377235"
"SCN4A","0"
"SCT","0"
"SDPR","0.102252802766841"
"SEL1L2","0"
"SGCG","0"
"SGK2","0.0754268067528993"
"SGOL1","0"
"SIX3","0"
"SKA1","0"
"SLC19A3","0"
"SLC22A12","0"
"SLC24A2","0.171375044061566"
"SLC2A4","0.0674929633310938"
"SLC30A8","0.0793383171668483"
"SLC36A2","0"
"SLC5A8","0.098588269325538"
"SLC6A4","0.149973015043808"
"SLC7A10","0.0667603733062766"
"SLCO1A2","0.213079876488698"
"SMR3B","0"
"SMYD1","0.139872050412509"
"SORBS1","0"
"SPC24","0"
"SPDYC","0"
"SPINK4","0"
"STAB2","0.176378131606557"
"SULT1C3","0.18574366530845"
"SYT13","0.0889535029442648"
"SYT5","0"
"TCL1B","0"
"TDO2","0"
"TEX19","0.0843476533053144"
"TFR2","0"
"TIMP4","0"
"TLX1","0"
"TLX3","0"
"TMEM132C","0.0852299743232457"
"TMEM145","0.0615521288031479"
"TMEM151A","0"
"TMEM215","0.148832338413796"
"TNMD","0.0703979528589479"
"TNNI3","0"
"TNNT1","0.0881357560709192"
"TNNT3","0"
"TNXB","0.124711728762776"
"TOP2A","0"
"TPX2","0"
"TRDN","0.11605736489937"
"TRHDE","0"
"TROAP","0"
"TRPA1","0"
"TRPM3","0"
"TSLP","0.0762492640045301"
"TUBA3D","0"
"TUSC5","0.0774643665071058"
"TYRP1","0"
"UBE2C","0"
"UHRF1","0"
"VGF","0"
"VIT","0.118129602081547"
"VSTM2A","0"
"WBSCR28","0"
"WIF1","0.171969973423719"
"WISP1","0.180448083889004"
"WIT1","0"
"WT1","0.0851484909641201"
"ZIC5","0"
"ZNF716","0"
"AKT1","0"
"APC","0"
"ATM","0"
"BARD1","0"
"BRCA1","0"
"BRCA2","0"
"BRIP1","0"
"C11orf65","0"
"CASP8","0"
"CDC73","0"
"CDH1","0"
"CHEK2","0"
"ERBB2","0"
"ESR1","0"
"FANCC","0"
"FANCM","0"
"HERC2","0"
"HMMR","0"
"KRAS","0"
"MSH2","0"
"MSH6","0"
"NBN","0"
"NQO2","0"
"PALB2","0"
"PHB","0"
"PIK3CA","0"
"PMS2","0"
"PPM1D","0"
"PTEN","0"
"RAD51C","0"
"RAD51","0"
"RAD54L","0"
"RB1CC1","0"
"RET","0"
"SLC22A18","0"
"TP53","0"
"XRCC2","0"
"XRCC3","0"
"ALDH4A1","0"
"AP2B1","0"
"BBC3","0"
"C16orf61","0"
"C20orf46","0"
"C9orf30","0"
"CCNE2","0"
"CDC42BPA","0"
"CDCA7","0"
"COL4A2","0"
"DCK","0"
"DIAPH3","0"
"DTL","0"
"EBF4","0"
"ECT2","0"
"EGLN1","0"
"ESM1","0.0925244385579584"
"EXT1","0"
"FGF18","0"
"FLT1","0"
"GMPS","0"
"GNAZ","0"
"GPR126","0"
"GPR180","0"
"GSTM3","0"
"IGFBP5","0"
"JHDM1D","0"
"LIN9","0"
"MCM6","0"
"MMP9","0"
"MS4A7","0"
"MTDH","0"
"NUSAP1","0"
"ORC6L","0"
"OXCT1","0"
"PALM2","0"
"PECI","0"
"PITRM1","0"
"PRC1","0"
"RAB6B","0"
"RASSF7","0"
"RECQL5","0"
"RFC4","0"
"RTN4RL1","0"
"RUNDC1","0"
"SCUBE2","0"
"SERF1A","0"
"SLC2A3","0"
"STK32B","0"
"TGFB3","0"
"TSPYL5","0"
"UCHL5","0"
"AKT2","0"
"AKT3","0"
"APC2","0"
"ARAF","0"
"AXIN1","0"
"AXIN2","0"
"BAK1","0"
"BAX","0"
"BRAF","0"
"CCND1","0"
"CDK4","0"
"CDK6","0"
"CDKN1A","0"
"CSNK1A1L","0"
"CSNK1A1","0"
"CTNNB1","0"
"DDB2","0"
"DLL1","0"
"DLL3","0"
"DLL4","0"
"DVL1","0"
"DVL2","0"
"DVL3","0"
"E2F1","0"
"E2F2","0"
"E2F3","0"
"EGFR","0"
"EGF","0"
"ESR2","0"
"FGF10","0"
"FGF16","0"
"FGF17","0"
"FGF19","0"
"FGF1","0"
"FGF20","0"
"FGF21","0"
"FGF22","0"
"FGF23","0"
"FGF2","0.0584452021767224"
"FGF3","0"
"FGF4","0"
"FGF6","0"
"FGF7","0"
"FGF8","0"
"FGF9","0.0598649224723064"
"FGFR1","0"
"FLT4","0"
"FOS","0"
"FRAT1","0"
"FRAT2","0"
"FZD10","0"
"FZD1","0"
"FZD2","0"
"FZD3","0"
"FZD4","0"
"FZD5","0"
"FZD6","0"
"FZD7","0"
"FZD8","0"
"FZD9","0"
"GADD45A","0"
"GADD45B","0"
"GADD45G","0.0672000279037116"
"GRB2","0"
"GSK3B","0"
"HES1","0"
"HES5","0"
"HEY1","0"
"HEY2","0.0722045442267553"
"HEYL","0"
"HRAS","0"
"IGF1R","0"
"IGF1","0"
"JAG1","0"
"JAG2","0"
"JUN","0"
"KIT","0.121887774432219"
"LEF1","0"
"LRP5","0"
"LRP6","0"
"MAP2K1","0"
"MAP2K2","0"
"MAPK1","0"
"MAPK3","0"
"MTOR","0"
"MYC","0"
"NCOA1","0"
"NCOA3","0"
"NFKB2","0"
"NOTCH1","0"
"NOTCH2","0"
"NOTCH3","0"
"NOTCH4","0"
"NRAS","0"
"PGR","0"
"PIK3CB","0"
"PIK3CD","0"
"PIK3R1","0"
"PIK3R2","0"
"PIK3R3","0"
"POLK","0"
"RAF1","0"
"RB1","0"
"RPS6KB1","0"
"RPS6KB2","0"
"SHC1","0"
"SHC2","0"
"SHC3","0"
"SHC4","0.0959032511918785"
"SOS1","0"
"SOS2","0"
"SP1","0"
"TCF7L1","0"
"TCF7L2","0"
"TCF7","0"
"TNFSF11","0"
"WNT10A","0"
"WNT10B","0"
"WNT11","0.059357538913524"
"WNT16","0"
"WNT1","0"
"WNT2B","0"
"WNT2","0"
"WNT3A","0"
"WNT3","0"
"WNT4","0"
"WNT5A","0"
"WNT5B","0"
"WNT6","0"
"WNT7A","0"
"WNT7B","0"
"WNT8A","0"
"WNT8B","0"
"WNT9A","0"
"WNT9B","0"
"ATF3","0"
"BATF","0"
"BCL11A","0.11751560143771"
"BCL3","0"
"BCLAF1","0"
"BDP1","0"
"BHLHE40","0"
"BRF1","0"
"BRF2","0"
"CCNT2","0"
"CEBPB","0"
"CHD2","0"
"CTBP2","0"
"CTCFL","0"
"CTCF","0"
"E2F4","0"
"E2F6","0"
"EBF1","0"
"EGR1","0"
"ELF1","0"
"ELK4","0"
"EP300","0"
"ESRRA","0"
"ETS1","0"
"FOSL1","0"
"FOSL2","0"
"FOXA1","0.119717638269619"
"FOXA2","0"
"GABPA","0"
"GATA1","0"
"GATA2","0"
"GATA3","0"
"GTF2B","0"
"GTF2F1","0"
"HDAC2","0"
"HMGN3","0"
"HNF4A","0"
"HNF4G","0"
"HSF1","0"
"IRF1","0"
"IRF3","0"
"IRF4","0.0761798086942886"
"JUND","0"
"KAT2A","0"
"MAFF","0"
"MAFK","0"
"MAX","0"
"MEF2A","0"
"MEF2C","0"
"MXI1","0"
"NANOG","0"
"NFE2","0"
"NFKB1","0"
"NFYA","0"
"NFYB","0"
"NR2C2","0"
"NR3C1","0"
"NRF1","0"
"PAX5","0.328096429505276"
"PBX3","0"
"POLR3A","0"
"POU2F2","0.0661318484805362"
"POU5F1","0"
"PPARGC1A","0.0579781035043988"
"PRDM1","0"
"RAD21","0"
"REST","0"
"RFX5","0"
"RXRA","0"
"SETDB1","0"
"SIN3A","0"
"SIRT6","0"
"SIX5","0"
"SMARCA4","0"
"SMARCB1","0"
"SMARCC1","0"
"SMARCC2","0"
"SMC3","0"
"SP2","0"
"SPI1","0"
"SREBF1","0"
"SREBF2","0"
"SRF","0"
"STAT1","0"
"STAT2","0"
"STAT3","0"
"SUZ12","0"
"TAF1","0"
"TAF7","0"
"TAL1","0"
"TBP","0"
"TCF12","0"
"TCF4","0"
"TFAP2A","0"
"TFAP2C","0"
"THAP1","0"
"TRIM28","0"
"USF1","0"
"USF2","0"
"WRNIP1","0"
"XRCC4","0"
"YY1","0"
"ZBTB33","0"
"ZBTB7A","0"
"ZEB1","0"
"ZNF143","0"
"ZNF263","0"
"ZNF274","0"
"ZZZ3","0"
